,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
2270,7.655,1,0.031918284,3,117.7492,1987,0,2,0,695.0952
2275,13.35,1,0.091189915,13,149.3708,2004,2,1,0,4514.124
2278,19,0,0.103363904,6,226.172,1987,0,2,0,3169.208
2279,14.15,1,0.020714523,6,124.2046,1997,2,0,0,2490.092
2280,20.85,0,0.062212713,0,88.1514,2004,2,1,0,1151.1682
2282,16.7,1,0.026729068,9,248.4776,2009,1,2,1,6439.6176
2283,7.895,0,0.094567181,2,104.5332,1997,2,0,0,1845.5976
2284,7.72,1,0.05193741,6,77.9986,1987,0,2,0,934.7832
2286,7.05,0,0.055644887,1,224.9088,1999,1,0,0,2684.5056
2288,8.52,1,0.027101431,14,151.7682,1999,1,0,0,2439.4912
2290,12.1,1,0.020652362,13,149.5734,2009,1,2,1,2227.101
2291,14.8,1,0.081042136,10,192.4846,1997,2,0,0,5159.2842
2292,20.75,1,0.021336565,14,153.6024,2009,1,2,1,1366.2216
2295,13.5,0,0.068148886,4,58.6562,2009,1,2,1,711.0744
2297,12.35,0,0.186616421,0,78.6328,2009,1,2,1,1004.0264
2300,16.2,1,0.019374768,14,155.8972,2004,2,1,0,2025.3636
2301,7.26,1,0.014482278,10,118.115,2009,1,2,1,1864.24
2302,6.65,1,0.087805788,6,126.7678,1999,1,0,0,1907.517
2303,13.35,1,0.048027043,1,218.9166,1997,2,0,0,5660.6316
2304,17.35,1,0.055908268,0,99.8016,2004,2,1,0,607.2096
2307,18.25,1,0.088807455,5,197.3452,2004,2,1,0,2740.4328
2308,8.185,1,0.046556408,6,47.7692,1999,1,0,0,640.4996
2309,7.5,1,0.050750977,3,122.2072,1997,2,0,0,1960.1152
2310,12.65,1,0.035404052,0,230.601,2004,2,1,0,2067.309
2311,14.3,1,0.130390458,0,77.2328,2004,2,1,0,231.6984
2316,20.25,1,0.058886477,9,245.546,1987,0,2,0,1724.422
2317,19.2,1,0.18293775,11,243.0196,1999,1,0,0,3615.294
2323,19.75,0,0.018051091,5,179.866,1999,1,0,0,2696.49
2329,14.35,1,0.080527065,0,79.296,1987,0,2,0,719.064
2330,15.2,1,0,8,47.8034,1999,1,0,0,437.4306
2331,5.82,0,0,6,256.633,1999,1,0,0,2050.664
2332,5.59,0,0.056833394,13,61.9168,2009,1,2,1,1214.4192
2333,18.5,0,0.062256921,5,148.0418,1997,2,0,0,2059.9852
2335,14,0,0.060427062,5,153.5656,1997,2,0,0,3089.312
2344,20.25,1,0.036295834,4,217.5482,1987,0,2,0,1095.241
2346,18.35,1,0.099026525,6,93.8462,1987,0,2,0,1295.6468
2347,16.6,1,0,3,118.8124,1997,2,0,0,2607.2728
2348,10,0,0.063162608,5,228.6668,2004,2,1,0,3455.502
2349,16.1,0,0.063429818,4,179.4318,1999,1,0,0,2345.6134
2352,19,1,0.112097433,5,105.5622,1999,1,0,0,1905.5196
2353,17.6,1,0.010037996,13,163.5552,2004,2,1,0,3086.6488
2355,9.3,0,0.033431669,10,153.1314,2004,2,1,0,4653.942
2358,6.15,1,0.046232445,0,99.4384,1987,0,2,0,1379.5376
2359,20.85,1,0.097618234,15,223.9746,1997,2,0,0,897.4984
2360,17.1,0,0.046808553,3,141.4838,1997,2,0,0,1404.838
2361,13.15,0,0.03810738,13,86.3856,2009,1,2,1,615.1992
2362,16.5,0,0.093846532,0,95.7068,2004,2,1,0,1069.2748
2364,13.15,1,0.022831052,6,160.292,1999,1,0,0,4793.76
2365,19.35,0,0.076878416,13,113.9518,1999,1,0,0,1138.518
2367,16.5,0,0.07964724,6,101.4332,1987,0,2,0,1948.1308
2368,21.35,1,0.068809463,3,258.5278,2004,2,1,0,5206.556
2369,16,0,0.115570552,6,57.5246,2004,2,1,0,173.7738
2370,20.5,1,0.143164371,9,34.919,1987,0,2,0,73.238
2371,19.75,0,0.018008071,5,180.466,1987,0,2,0,3415.554
2374,5.88,1,0.003606726,7,154.1998,2009,1,2,1,1384.1982
2375,11.8,0,0.093801337,13,126.0704,1999,1,0,0,1251.704
2376,17.35,1,0,0,101.9016,1987,0,2,0,1821.6288
2377,12.35,0,0.033760862,10,196.9426,1997,2,0,0,5141.3076
2380,6.235,1,0.118858866,9,263.291,1999,1,0,0,3418.883
2381,9.6,1,0,13,244.817,2004,2,1,0,4374.306
2383,17.1,0,0.046881328,3,141.3838,1999,1,0,0,1685.8056
2386,16,0,0.107186944,0,181.9634,2009,1,2,1,3453.5046
2387,15,1,0.153960209,15,105.9938,2004,2,1,0,1179.1318
2388,7.39,1,0.093160853,9,251.3066,2009,1,2,1,1004.0264
2389,17.6,1,0.05629192,5,42.5454,1997,2,0,0,419.454
2390,12.65,0,0.15604396,6,239.6538,1997,2,0,0,3845.6608
2391,17.85,1,0.044463491,13,127.102,1997,2,0,0,2024.032
2392,11.15,0,0.00827301,4,150.4708,1987,0,2,0,1956.1204
2393,15.7,1,0.030697825,7,42.877,2004,2,1,0,1168.479
2398,15.85,1,0.057313443,13,53.3956,1997,2,0,0,1364.89
2399,6.575,0,0.075625152,1,145.7444,1999,1,0,0,3193.1768
2405,10.85,1,0.028679894,9,115.1808,1997,2,0,0,2109.2544
2406,10,1,0.099804623,13,113.7544,1999,1,0,0,3243.7776
2411,5.925,0,0.09644909,4,43.8086,2004,2,1,0,312.2602
2412,13,1,0.041816615,9,254.5014,2004,2,1,0,4845.0266
2416,14.5,0,0.097201128,13,159.4262,1997,2,0,0,2705.1454
2418,13.3,0,0.0713931,6,61.0536,1987,0,2,0,1592.5936
2419,19.6,1,0.041256807,9,88.8514,1987,0,2,0,2125.2336
2420,17.75,1,0.034746076,4,248.275,2004,2,1,0,998.7
2421,12.35,1,0.093441604,13,119.1124,1999,1,0,0,3673.8844
2422,14.35,1,0.017024598,8,109.8228,1987,0,2,0,2099.9332
2426,14.75,1,0.032862976,8,238.6906,1987,0,2,0,4278.4308
2427,12.15,1,0.015484763,5,211.9928,1999,1,0,0,631.1784
2428,6.59,1,0.026163192,9,121.5098,1987,0,2,0,602.549
2429,12.6,0,0.073920438,4,255.6356,1997,2,0,0,2797.6916
2434,7.325,1,0.093307668,6,92.7146,1987,0,2,0,2006.7212
2436,15.1,0,0.019965179,5,130.531,1999,1,0,0,908.817
2438,8.51,0,0.078339081,13,172.9422,1987,0,2,0,1379.5376
2441,17.85,1,0.018097419,8,96.9094,2009,1,2,1,1332.9316
2442,18.25,1,0.078041216,13,258.4962,2009,1,2,1,2848.9582
2443,17.6,1,0.08226356,8,160.492,1987,0,2,0,1278.336
2444,10.895,1,0.026880159,5,106.428,1997,2,0,0,1491.392
2447,14.1,1,0.126292985,6,88.6198,2009,1,2,1,1133.8574
2448,15.15,0,0.012260981,13,131.7284,2004,2,1,0,1186.4556
2450,17.6,1,0.018982338,8,237.059,2009,1,2,1,2836.308
2451,14.6,1,0.059405152,9,179.6976,1997,2,0,0,3621.952
2452,10.1,1,0.027059264,10,76.467,2004,2,1,0,1761.041
2453,10.5,1,0.071244438,5,119.2098,2004,2,1,0,1325.6078
2454,12.6,1,0.007455054,9,186.9556,2004,2,1,0,3942.8676
2455,18.7,1,0.046088273,8,153.6682,1997,2,0,0,3506.7686
2456,5.985,1,0.096185556,5,127.1678,2009,1,2,1,3560.6984
2457,12.1,1,0.11487406,0,221.4114,1997,2,0,0,5099.3622
2458,13,0,0.083643716,3,196.0426,1999,1,0,0,2570.6538
2461,7.17,0,0.059716729,6,130.9968,2004,2,1,0,2348.9424
2462,20.85,0,0.062224479,0,88.1514,1997,2,0,0,1682.4766
2463,18.75,1,0.034360687,9,215.7218,1999,1,0,0,4274.436
2464,7.5,1,0.050708743,3,123.4072,1987,0,2,0,3185.1872
2466,12.8,0,0.023530953,10,223.5404,1997,2,0,0,1800.3232
2467,11.65,0,0.058681957,0,170.4422,1987,0,2,0,517.3266
2469,11.35,0,0,13,103.0016,2004,2,1,0,2125.2336
2474,6.525,1,0.090295708,9,84.6882,1997,2,0,0,601.2174
2477,6.985,0,0.137580452,10,182.8608,1999,1,0,0,4042.7376
2482,16,1,0.089971292,4,143.2154,1997,2,0,0,1701.7848
2483,13.1,0,0.099186992,5,198.7768,2009,1,2,1,3153.2288
2489,11,1,0.008960445,10,119.1756,1999,1,0,0,1696.4584
2493,9.06,1,0.009791467,11,213.256,1999,1,0,0,4687.232
2494,11.5,1,0.072820885,6,191.253,1987,0,2,0,3036.048
2495,11.15,1,0.073354286,11,66.8142,2004,2,1,0,2372.9112
2497,15.1,0,0.087406863,6,221.8456,1997,2,0,0,663.1368
2498,8.3,0,0.030198228,0,98.2384,1999,1,0,0,2167.8448
2499,14.15,0,0.024442501,6,196.411,1999,1,0,0,2749.754
2501,8.365,0,0.039844429,6,190.1188,1997,2,0,0,1904.188
2502,11.85,0,0.055805027,0,53.0666,1999,1,0,0,512.666
2503,19.6,1,0.047888606,8,42.277,2004,2,1,0,605.878
2504,19,0,0.065735977,6,189.6214,1999,1,0,0,2826.321
2505,18.25,1,0.076089711,13,212.9218,1999,1,0,0,3846.9924
2506,19.85,0,0.020908608,13,63.5194,1999,1,0,0,557.2746
2509,19.6,1,0.039738393,13,163.7526,2009,1,2,1,2960.1468
2511,13.3,1,0.06356617,5,151.3708,1997,2,0,0,3611.2992
2512,10.395,1,0.112553853,13,59.022,2009,1,2,1,1378.206
2513,10.5,0,0.013493914,13,143.7154,2004,2,1,0,3119.9388
2514,19.35,1,0.118102769,13,224.8088,1997,2,0,0,2013.3792
2515,14.1,1,0.06682033,13,198.9084,1987,0,2,0,4761.8016
2516,8.6,0,0.040205535,3,188.753,1997,2,0,0,7590.12
2519,20.5,1,0.032819637,9,38.9822,1999,1,0,0,982.055
2520,15.1,0,0.096249842,10,134.4942,1999,1,0,0,2119.9072
2523,7.905,1,0.010003987,13,250.7408,1987,0,2,0,5757.8384
2524,18,1,0.124452048,5,118.5124,1997,2,0,0,1303.6364
2528,19.85,1,0.054025644,12,197.2768,1997,2,0,0,6503.5344
2530,7.325,1,0.093385381,6,91.3146,1997,2,0,0,1641.8628
2532,10.695,0,0.060654268,2,174.7712,2004,2,1,0,3339.6528
2534,20.25,1,0.025953257,9,179.5976,1997,2,0,0,2535.3664
2536,11.65,1,0.033851785,12,112.186,2004,2,1,0,1018.674
2538,7.235,1,0.058121214,13,115.8834,2004,2,1,0,1382.2008
2539,12.15,1,0.015457803,5,209.9928,2004,2,1,0,5259.82
2540,8.615,1,0.116152226,6,94.1436,1987,0,2,0,1512.6976
2541,6.765,0,0.087260103,5,105.0306,1997,2,0,0,2090.612
2542,10.3,0,0.0111263,13,87.254,1997,2,0,0,1211.756
2544,8.84,0,0.076547632,5,109.5228,2004,2,1,0,1657.842
2546,20.1,1,0.074931201,4,108.9228,2009,1,2,1,1105.228
2547,9.695,1,0,6,185.1898,2004,2,1,0,2619.2572
2548,18.85,1,0.16758389,9,194.6136,1997,2,0,0,2721.7904
2549,18.25,1,0.054318517,13,140.9154,1999,1,0,0,6381.693
2551,5.32,1,0,8,101.7674,1987,0,2,0,1120.5414
2552,8.115,0,0.032152786,3,157.3972,2004,2,1,0,1869.5664
2553,15.1,1,0.055840055,9,139.8496,1997,2,0,0,1411.496
2555,9,1,0.081996013,5,216.2534,2004,2,1,0,4301.068
2556,8.18,0,0.082737261,5,57.3588,2009,1,2,1,343.5528
2559,20.6,0,0.045982389,13,177.0344,1987,0,2,0,535.3032
2560,9.3,1,0.042256257,7,124.4388,1987,0,2,0,1609.9044
2561,19.6,1,0,8,42.877,1999,1,0,0,649.155
2562,11.3,1,0.056424146,0,247.8118,2004,2,1,0,2223.1062
2564,15.3,0,0.084749164,3,215.5218,2004,2,1,0,4060.7142
2566,15.2,1,0.091763303,13,228.5352,1997,2,0,0,1832.2816
2570,15.35,0,0.113195815,6,190.8504,2004,2,1,0,3643.2576
2572,20.1,0,0.054584207,6,193.382,2004,2,1,0,4247.804
2574,12.35,1,0.093278912,13,118.7124,2004,2,1,0,2607.2728
2577,14.1,1,0.090043082,3,140.1496,2009,1,2,1,846.8976
2579,16.5,1,0.035711426,8,93.612,1999,1,0,0,1584.604
2580,13.6,0,0.043655155,6,156.7946,1997,2,0,0,3629.2758
2583,7.275,1,0.027942357,13,145.076,2004,2,1,0,1611.236
2584,19.7,1,0.041730507,5,109.2912,2004,2,1,0,2402.2064
2587,14.15,1,0.008829806,9,196.811,2009,1,2,1,4517.453
2588,19,1,0.067722325,13,130.8626,2009,1,2,1,1573.9512
2590,20.5,1,0,9,37.119,2009,1,2,1,842.237
2591,6.96,1,0.077193561,14,89.9146,1997,2,0,0,1277.0044
2592,15.35,1,0.013869039,5,62.5168,2009,1,2,1,447.4176
2596,5.78,1,0.096536082,1,162.8552,1999,1,0,0,3574.0144
2599,9.3,1,0.01601936,4,248.5092,2004,2,1,0,6474.2392
2601,9.195,1,0.114863923,5,59.0246,2004,2,1,0,1853.5872
2602,9.17,1,0.103138922,0,141.747,1999,1,0,0,3006.087
2606,18.7,1,0,14,52.2324,2004,2,1,0,467.3916
2608,8.785,1,0.025962714,6,120.9414,2004,2,1,0,1949.4624
2610,8.76,1,0.050256604,8,127.3336,2009,1,2,1,2684.5056
2612,19.6,1,0.023931217,9,103.1964,1987,0,2,0,736.3748
2614,8.155,0,0.033692089,5,76.2354,2009,1,2,1,1279.0018
2617,18.85,1,0.142219209,3,167.6132,2009,1,2,1,1522.0188
2619,9.6,1,0.006708517,9,164.6184,1999,1,0,0,2972.1312
2621,13.35,1,0.032180494,10,61.2194,1997,2,0,0,433.4358
2622,11.3,0,0.066717378,5,260.8962,2004,2,1,0,4920.9278
2626,11.5,0,0.020653603,4,84.954,2009,1,2,1,865.54
2627,5.19,1,0.042687151,5,195.911,1999,1,0,0,2946.165
2628,12.15,1,0.021705417,1,163.5184,1987,0,2,0,3137.2496
2629,15.25,1,0.026651184,13,86.6198,1999,1,0,0,1657.1762
2630,11.8,0,0.106968096,4,221.6772,1987,0,2,0,3113.2808
2632,16.75,0,0.008191729,3,103.5674,1997,2,0,0,1629.8784
2633,10.8,0,0.048218142,0,42.2138,1999,1,0,0,690.4346
2634,11.8,0,0.107036943,4,220.3772,2004,2,1,0,4447.544
2636,7.81,0,0.034043503,13,168.7158,1999,1,0,0,2673.8528
2637,11.1,0,0.036027524,5,177.2712,1997,2,0,0,3339.6528
2638,12.85,1,0,5,38.3164,2004,2,1,0,502.0132
2639,10.5,0,0.02498633,6,216.7508,2004,2,1,0,3038.7112
2640,6.135,1,0.115032406,14,161.0236,1997,2,0,0,1288.9888
2643,9.3,1,0.016087659,4,249.6092,2009,1,2,1,5976.2208
2645,8.51,1,0.051936086,9,142.947,2004,2,1,0,3006.087
2647,8.6,0,0.05443912,1,128.831,1987,0,2,0,1038.648
2649,14.5,1,0.089778187,8,158.4604,1997,2,0,0,2693.8268
2650,6.65,1,0.053372768,3,149.5734,1999,1,0,0,2524.0478
2651,20.1,0,0.022406575,6,225.9036,1987,0,2,0,3643.2576
2652,15.25,0,0.065896556,13,179.266,1997,2,0,0,1438.128
2654,7.075,1,0.022566975,5,97.3068,1997,2,0,0,1263.6884
2655,11.5,1,0,6,129.3652,1987,0,2,0,2066.6432
2657,8.785,1,0.020609218,14,155.1656,1999,1,0,0,4016.1056
2658,5.465,0,0,0,129.1626,1997,2,0,0,3672.5528
2661,15.7,0,0.030624844,13,252.2724,1997,2,0,0,1258.362
2662,7.39,1,0.092705683,9,251.9066,1987,0,2,0,4267.1122
2664,6.8,1,0.03748996,0,48.6034,2004,2,1,0,291.6204
2666,11.5,1,0.046115083,13,120.2124,2004,2,1,0,1540.6612
2667,17.6,0,0.053170949,15,45.606,2004,2,1,0,1724.422
2668,7.75,0,0.082915017,5,34.9558,2004,2,1,0,645.1602
2670,18.6,1,0.076975118,13,161.8236,1999,1,0,0,1611.236
2671,5.73,1,0.045371855,14,86.0882,1997,2,0,0,1116.5466
2672,12.15,1,0.028642712,9,149.0708,1999,1,0,0,1203.7664
2673,5.44,0,0.017047751,0,174.637,1987,0,2,0,2999.429
2676,12.1,1,0.016812745,7,180.666,1987,0,2,0,4134.618
2677,8.355,1,0,3,145.6418,1987,0,2,0,3384.2614
2679,15.75,1,0.134960397,9,101.37,1987,0,2,0,2097.27
2680,5.905,1,0.045614252,3,221.5456,1987,0,2,0,6852.4136
2681,16,1,0.099136036,9,210.3902,1997,2,0,0,1486.7314
2682,20.25,1,0.014222617,9,148.9418,1997,2,0,0,3531.4032
2683,5.175,1,0.037457098,3,83.4224,1999,1,0,0,1448.7808
2684,9,1,0.079279489,3,77.2644,1987,0,2,0,1335.5948
2685,15.6,0,0.045835395,13,168.2132,1999,1,0,0,2367.5848
2686,5.175,0,0.029616108,13,107.7622,2009,1,2,1,2011.3818
2688,18.7,1,0.0576269,4,83.3566,1999,1,0,0,1860.2452
2689,17.6,1,0.015687045,9,182.6976,1997,2,0,0,3440.8544
2690,18.2,1,0.162960415,8,43.5086,1987,0,2,0,1070.6064
2691,13.15,1,0.024651269,9,179.5686,1997,2,0,0,1422.1488
2694,20.35,1,0.089608321,4,262.1594,1999,1,0,0,3139.9128
2695,7.39,1,0.067766896,8,140.6812,2004,2,1,0,3704.5112
2696,19.6,1,0.041355366,9,88.7514,1999,1,0,0,2656.542
2698,6.28,1,0.027748176,14,86.5198,1999,1,0,0,1395.5168
2699,9.395,1,0.159201868,14,226.072,1987,0,2,0,3621.952
2701,12.65,1,0.042175992,9,106.4938,1987,0,2,0,2465.4574
2704,15.5,0,0.026280116,6,102.3332,1987,0,2,0,922.7988
2705,8.88,1,0.086916126,7,153.3682,1999,1,0,0,1219.7456
2708,16,1,0.09911729,9,210.7902,2004,2,1,0,4460.1942
2709,19.7,1,0.053439522,6,55.093,2009,1,2,1,1018.674
2710,20.6,1,0.023448504,6,93.9778,2004,2,1,0,2816.334
2711,19.25,1,0.108030434,9,32.4558,1997,2,0,0,101.8674
2712,14.15,0,0.024404558,6,198.311,1997,2,0,0,2553.343
2714,11.8,0,0.026358005,3,39.6138,1997,2,0,0,365.5242
2716,12.85,1,0.137227848,13,155.563,1997,2,0,0,4224.501
2720,4.635,1,0.141108156,1,128.2994,1999,1,0,0,2698.4874
2721,19.6,1,0.024325592,4,48.5718,2009,1,2,1,425.4462
2724,9.395,0,0.109096371,14,44.6112,1997,2,0,0,511.3344
2725,11.395,0,0.069574013,10,232.8616,2004,2,1,0,2812.3392
2726,19.5,0,0.027458099,3,158.792,2009,1,2,1,2556.672
2727,18.35,0,0.092226754,5,184.4266,1997,2,0,0,3504.1054
2729,11.8,0,0.014144442,5,180.4344,2009,1,2,1,535.3032
2732,14,1,0.041355366,15,182.0634,1999,1,0,0,4544.085
2733,19.7,1,0.024655594,14,84.3592,1997,2,0,0,743.0328
2734,12.5,1,0.081134826,10,220.0798,1997,2,0,0,4848.3556
2736,7.435,1,0.084452363,15,165.2158,1997,2,0,0,2840.9686
2737,6.48,1,0.033899898,13,146.9076,1997,2,0,0,2956.152
2738,17.6,1,0.058042926,10,154.6314,1987,0,2,0,1861.5768
2740,16.1,1,0.0343603,6,253.4356,1999,1,0,0,2797.6916
2741,15.5,0,0.100922503,6,199.0768,1999,1,0,0,2759.0752
2743,4.785,1,0.092576144,1,121.0098,2004,2,1,0,2530.7058
2744,14.6,1,0.025742955,9,197.1084,1999,1,0,0,4761.8016
2745,6.445,1,0.029812714,0,95.4436,2009,1,2,1,1229.0668
2746,4.88,0,0.133382115,0,55.0298,1987,0,2,0,647.1576
2747,8.1,0,0,3,88.5198,1987,0,2,0,261.6594
2748,8.395,1,0.039484739,13,97.9042,2004,2,1,0,1686.4714
2749,10,1,0.021425341,9,250.175,1997,2,0,0,2996.1
2751,12.35,0,0.185704641,0,77.1328,1987,0,2,0,2239.7512
2752,11.3,1,0.066668724,9,192.4478,2004,2,1,0,2712.4692
2754,19.5,0,0.030688557,3,85.754,2004,2,1,0,2163.85
2755,19.7,1,0.041803291,5,110.3912,1999,1,0,0,3275.736
2756,7.75,0,0.082861686,5,32.6558,1987,0,2,0,679.116
2757,15.1,1,0.076385385,0,88.483,2009,1,2,1,988.713
2759,11.1,1,0.033102681,9,116.6124,2004,2,1,0,1540.6612
2761,7.97,1,0.021531416,12,108.4596,2004,2,1,0,3020.0688
2762,12.15,1,0.028592842,9,151.0708,2004,2,1,0,2858.9452
2763,14.1,1,0.067148407,13,200.4084,2009,1,2,1,3968.168
2768,16.35,1,0.020579897,6,52.1324,1999,1,0,0,934.7832
2769,19.1,0,0.025912378,6,146.8418,1999,1,0,0,1765.7016
2771,5.19,0,0.044432887,10,102.899,2009,1,2,1,1651.184
2772,11.8,1,0.115346634,14,200.2084,1999,1,0,0,4563.3932
2773,11.35,0,0.063226306,4,87.9856,1997,2,0,0,1494.0552
2776,20.25,0,0.022936488,0,240.8538,2004,2,1,0,7931.6754
2777,10.1,1,0.054585372,8,196.5084,1987,0,2,0,595.2252
2779,12,1,0.104230135,8,259.5278,1997,2,0,0,2603.278
2780,19,1,0.111923422,5,106.5622,1997,2,0,0,2117.244
2781,19.7,1,0.024756031,14,83.8592,2009,1,2,1,247.6776
2784,11.5,1,0.173483253,6,129.0652,2004,2,1,0,3487.4604
2786,18.85,1,0.04282359,3,254.433,2009,1,2,1,2050.664
2787,6.135,1,0.115010655,14,161.5236,2004,2,1,0,1288.9888
2788,20.7,1,0.169776346,3,184.4266,2004,2,1,0,3688.532
2789,17.6,1,0.041608488,14,165.4526,2004,2,1,0,1644.526
2790,16,1,0.072608647,9,228.3668,1987,0,2,0,5298.4364
2793,15.6,1,0.116913245,5,78.167,1997,2,0,0,1837.608
2798,9.3,1,0.175060504,13,106.7964,2009,1,2,1,525.982
2799,20.2,1,0.099893424,9,187.6898,2004,2,1,0,3928.8858
2801,12.15,1,0,15,119.244,2004,2,1,0,2636.568
2802,21.35,1,0.068765205,3,260.4278,1987,0,2,0,3644.5892
2803,20.2,0,0.096906831,10,175.5028,2009,1,2,1,6729.9064
2804,6.57,1,0.096862255,9,193.982,2004,2,1,0,2316.984
2805,19.35,0,0.062528426,0,166.9184,1997,2,0,0,3302.368
2806,8.6,1,0.032621545,8,143.2154,1997,2,0,0,2127.231
2807,8.51,1,0.05190268,9,142.247,1987,0,2,0,2862.94
2810,14.3,1,0.127517605,5,86.0224,2004,2,1,0,1022.6688
2812,14.3,1,0.13030659,0,75.7328,1987,0,2,0,617.8624
2814,6.825,0,0.046625941,3,154.9998,2004,2,1,0,3075.996
2815,12.65,1,0.035410748,0,231.401,1997,2,0,0,2067.309
2816,11.15,1,0.032250092,8,164.0526,2004,2,1,0,4769.1254
2817,19.1,1,0.045378573,4,42.4138,1999,1,0,0,243.6828
2819,19.6,1,0.024222321,4,45.5718,2004,2,1,0,945.436
2824,12.3,1,0.009410528,0,73.738,1997,2,0,0,1318.284
2825,12.85,1,0.169139066,5,46.406,2009,1,2,1,186.424
2826,11.35,0,0.043122189,6,197.9742,1987,0,2,0,995.371
2828,19,0,0.10361083,6,228.372,1999,1,0,0,905.488
2829,10.195,0,0.044974051,6,115.5808,2004,2,1,0,1874.8928
2833,18,1,0.124645538,5,117.2124,1999,1,0,0,2133.2232
2834,7.1,1,0.110459828,6,172.108,2009,1,2,1,2250.404
2836,9.8,0,0.056386541,1,84.6908,1997,2,0,0,503.3448
2839,14.65,1,0.083359391,9,161.9552,1997,2,0,0,4711.2008
2841,9.695,0,0.128805815,0,224.0404,2009,1,2,1,5851.0504
2844,7.75,0,0.083059634,5,35.7558,1999,1,0,0,611.2044
2846,12.3,1,0.076866235,9,247.146,2009,1,2,1,492.692
2847,16,0,0.099188598,5,88.9856,1987,0,2,0,1669.8264
2848,11.5,1,0.021010687,8,131.3942,1999,1,0,0,927.4594
2851,7.64,0,0.070645636,13,91.212,1987,0,2,0,466.06
2852,17.75,1,0.014568036,6,158.1262,1987,0,2,0,4137.2812
2853,17.75,1,0.073524776,12,34.8216,1999,1,0,0,207.7296
2854,7.27,1,0.046559448,8,100.5384,1997,2,0,0,2463.46
2856,20.2,0,0.039247736,2,157.663,1997,2,0,0,1095.241
2857,16,1,0.040945898,13,143.1496,1997,2,0,0,2258.3936
2858,9.5,1,0.031331581,6,111.1228,1999,1,0,0,663.1368
2860,15,0,0.026840766,0,219.8456,1997,2,0,0,4863.0032
2861,7.035,1,0,5,262.691,1987,0,2,0,6048.793
2862,19.75,1,0.041429246,6,117.2466,1999,1,0,0,2239.0854
2868,19.1,1,0.045492697,4,40.3138,2009,1,2,1,527.9794
2869,13.6,0,0.043618827,6,156.7946,1987,0,2,0,2840.3028
2870,5.34,0,0.005963881,13,99.5358,1997,2,0,0,1407.5012
2871,18.2,1,0.08982696,6,197.111,1987,0,2,0,589.233
2872,12.15,1,0.079431643,8,38.6506,1997,2,0,0,796.9626
2874,17.35,1,0.056005781,0,99.2016,1999,1,0,0,1518.024
2876,7.22,0,0.0383808,0,62.351,1999,1,0,0,885.514
2877,19.1,1,0.03856376,6,209.2586,1997,2,0,0,3165.879
2880,14,0,0.037491314,5,164.2526,1987,0,2,0,1808.9786
2881,6.615,0,0.09234651,3,251.8408,2009,1,2,1,4506.1344
2887,17,0,0.140090284,3,265.1884,2009,1,2,1,6359.7216
2890,8.6,0,0.040369315,3,189.753,2009,1,2,1,2846.295
2891,9.3,1,0.043777415,7,192.9846,2004,2,1,0,6114.7072
2892,7.27,1,0.046631836,8,98.4384,1999,1,0,0,1576.6144
2893,11.8,0,0.076839735,13,34.9558,1999,1,0,0,373.5138
2894,16.35,1,0,6,198.5426,1997,2,0,0,1384.1982
2897,20,1,0.034369528,0,43.7086,1997,2,0,0,892.172
2898,5.82,1,0,9,169.379,1987,0,2,0,2376.906
2899,18.75,1,0.01035692,9,208.3954,1987,0,2,0,2709.1402
2900,9.5,0,0.104488444,3,77.896,2004,2,1,0,1997.4
2902,10.5,1,0.027271252,9,171.6106,2004,2,1,0,2566.659
2903,20.5,1,0.036346224,5,72.9696,2004,2,1,0,596.5568
2905,13.1,0,0.044372393,6,180.3318,2009,1,2,1,2886.9088
2908,18.2,1,0.089884775,6,195.111,2004,2,1,0,3731.809
2909,19.7,1,0.053178425,6,55.993,1987,0,2,0,905.488
2910,14.1,1,0.089660816,3,140.0496,2004,2,1,0,1411.496
2913,14.15,0,0.024503972,6,195.111,2009,1,2,1,982.055
2914,11.6,0,0.143990173,4,239.6222,2004,2,1,0,2390.222
2917,6.385,1,0.084179812,7,109.0596,2009,1,2,1,1941.4728
2918,16.1,0,0.025050746,6,97.141,2009,1,2,1,1448.115
2919,9,1,0.065515067,13,178.137,2009,1,2,1,1058.622
2923,20.75,1,0.021232318,14,151.1024,1987,0,2,0,2428.8384
2924,6.63,0,0.104183308,0,166.15,1999,1,0,0,3828.35
2925,8.42,1,0.070856383,9,217.4192,2009,1,2,1,431.4384
2926,5.15,0,0.061272194,10,125.6388,1999,1,0,0,1733.7432
2929,15.1,1,0.052329172,10,243.1512,2004,2,1,0,4604.6728
2930,15.35,0,0.055103174,10,149.7734,2004,2,1,0,2820.9946
2932,12.85,1,0.033271818,6,196.5768,1999,1,0,0,5715.2272
2934,7.475,1,0.075713578,9,156.4656,2004,2,1,0,2471.4496
2935,8.27,1,0.01889024,8,238.188,2009,1,2,1,3835.008
2936,12.85,0,0.152364317,6,254.0382,1999,1,0,0,1261.691
2937,8.365,0,0.039811272,6,191.3188,1987,0,2,0,2285.0256
2939,19.6,1,0.041283361,9,87.0514,2004,2,1,0,2125.2336
2941,20.2,1,0.011820087,9,151.634,1997,2,0,0,1990.742
2942,10.3,0,0.024891881,0,170.9422,2004,2,1,0,3103.9596
